Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
301;0.334977467;;;;;;;;0.49139
302;0.574689448;;;;;;;;0.61614
303;0.342684719;;;;;;;;0.50164
304;0.465512449;;;;;;;;0.5966
305;0.624727484;;;;;;;;0.64299
306;0.854541305;;;;;;;;0.73955
307;0.52457351;;;;;;;;0.70023
308;-0.131696107;;;;;;;;0.77817
309;-0.242612672;;;;;;;;0.79723
310;0.070815189;;;;;;;;
311;0.670481447;;;;;;;;
312;0.907522079;;;;;;;;
313;0.414249757;;;;;;;;
314;0.269541707;;;;;;;;
315;0.295243195;;;;;;;;
316;0.565174063;;;;;;;;
317;0.556309555;;;;;;;;
318;0.516435134;;;;;;;;
319;0.335175489;;;;;;;;
320;0.225289875;;;;;;;;
321;0.315312077;;;;;;;;
322;0.241235647;;;;;;;;
323;-0.006841799;;;;;;;;
324;0.185930715;;;;;;;;
325;0.540816579;;;;;;;;
326;0.929196586;;;;;;;;
327;0.467134709;;;;;;;;
328;0.36153194;;;;;;;;
329;0.319505234;;;;;;;;
330;0.262890529;;;;;;;;
331;0.309014226;;;;;;;;
332;0.482989749;;;;;;;;
333;0.549187347;;;;;;;;
334;-0.185739445;;;;;;;;
335;-0.302395027;;;;;;;;
336;0.059772285;;;;;;;;
337;0.237437379;;;;;;;;
338;0.372069783;;;;;;;;
339;0.423455855;;;;;;;;
340;0.543128759;;;;;;;;
341;0.516734101;;;;;;;;
342;0.369591843;;;;;;;;
343;0.425771103;;;;;;;;
344;0.621241089;;;;;;;;
345;0.847555183;;;;;;;;
346;0.358552312;;;;;;;;
347;0.290630111;;;;;;;;
348;0.558422804;;;;;;;;
349;0.730243924;;;;;;;;
350;0.484724445;;;;;;;;
351;0.331141926;;;;;;;;
352;0.696061887;;;;;;;;
353;0.541642197;;;;;;;;
354;0.350507182;;;;;;;;
355;0.637262793;;;;;;;;
356;0.506433483;;;;;;;;
357;0.247824703;;;;;;;;
358;0.20537102;;;;;;;;
359;0.167054385;;;;;;;;
360;0.378070607;;;;;;;;
361;0.155665625;;;;;;;;
362;-0.100804515;;;;;;;;
363;0.103397794;;;;;;;;
364;0.479731953;;;;;;;;
365;0.495209816;;;;;;;;
366;0.05007304;;;;;;;;
367;0.169788463;;;;;;;;
368;0.539171113;;;;;;;;
369;0.309866586;;;;;;;;
370;0.344578366;;;;;;;;
371;0.452869299;;;;;;;;
372;-0.079348227;;;;;;;;
373;0.218357085;;;;;;;;
374;0.773730694;;;;;;;;
375;0.709837176;;;;;;;;
376;0.160567357;;;;;;;;
377;0.189267779;;;;;;;;
378;0.291984813;;;;;;;;
379;0.075361617;;;;;;;;
380;0.008523804;;;;;;;;
381;0.461374094;;;;;;;;
382;0.402265828;;;;;;;;
383;-0.052959532;;;;;;;;
384;0.270988264;;;;;;;;
385;0.872080683;;;;;;;;
386;1.164949541;;;;;;;;
387;0.142906418;;;;;;;;
388;-0.155170877;;;;;;;;
389;0.171780477;;;;;;;;
390;0.544110926;;;;;;;;
391;0.943161567;;;;;;;;
392;0.195072521;;;;;;;;
393;0.033288577;;;;;;;;
394;0.592777099;;;;;;;;
395;0.415969795;;;;;;;;
396;0.013417984;;;;;;;;
397;0.367819549;;;;;;;;
398;0.626031737;;;;;;;;
399;0.641783066;;;;;;;;
400;0.054554041;;;;;;;;
401;-0.090534938;;;;;;;;
402;-0.017406819;;;;;;;;
403;0.078177097;;;;;;;;
404;0.595266873;;;;;;;;
405;0.858496914;;;;;;;;
406;0.177778452;;;;;;;;
407;-0.116061857;;;;;;;;
408;0.316359478;;;;;;;;
409;0.492097742;;;;;;;;
410;0.462564898;;;;;;;;
411;0.511878773;;;;;;;;
412;0.507795688;;;;;;;;
413;0.193355036;;;;;;;;
414;0.137336366;;;;;;;;
415;0.124959114;;;;;;;;
416;0.717612897;;;;;;;;
417;0.660905874;;;;;;;;
418;0.555529106;;;;;;;;
419;0.278036917;;;;;;;;
420;0.133321222;;;;;;;;
421;0.260056688;;;;;;;;
422;0.256502129;;;;;;;;
423;0.495783492;;;;;;;;
